GANHWA,HANUH,KOREAN,
炸酱面, zha2jia4ngmia4n, 짜장면,
旗袍, qi2pa2o, 치파오,
长城, cha2ngche2ng, 만리장성,
熊猫, xio2ngma1o, 판다,
京剧, ji1ngju4, 경극,
兵马俑, bi1ngma3yo3ng, 병마용,
三国志, sa1nguo2zhi4, 삼국지,
中华人民共和国, zho1nghua2re2nmi2n go4nghe2guo2, 중화인민공화국,
五星红旗, wu3xi1ng ho2ngqi2, 오성홍기,
北京, be3iji1ng, 베이징,
汉族, ha4nzu2, 한족,
汉语, ha4nyu3, 한어,
普通话, pu3to1nghua4, 보통화,
简化字, jia3nhua4zi4, 간화자,
汉语拼音, ha4nyu3 pi1nyi1n, 한어병음,
一, yi1, 1,
二, e4r, 2,
三, sa1n, 3,
四, si4, 4,
五, wu3, 5,
六, liu4, 6,
七, qi1, 7,
八, ba1, 8,
九, jiu3, 9,
十, shi2, 10,
公主, go1ngzhu3, 공주,
红茶, ho2ngcha2, 홍차,
门, me2n, 문,
图书馆, tu2shu1gua3n, 도서관,
农村, no2ngcu1n, 농촌,
整理, zhe3ngli3, 정리,
茶, cha2, 차,
厨房, chu2fa2ng, 주방,
准备, zhu3nbei4, 준비,
欢迎, hua1nyi2ng, 환영,
感谢, ga3nxie4, 감사,
咖啡, ka1fe1i, 커피,
巧克力, qia3oke4li4, 초콜렛,
沙发, sha1fa1, 소파,
信用卡, xi4nyo4ngka3, 신용카드,